config,n_seeds,detector,transform,kind,gamma,nu,n_train,tau_b_beta,tau_u_quantile,tau_m_objective,balanced_accuracy_mean,balanced_accuracy_std,f1_weighted_mean,f1_weighted_std,f1_macro_mean,f1_macro_std,benign_fpr_mean,benign_fpr_std,attack_detection_rate_mean,attack_detection_rate_std,detector_infer_s_mean,detector_infer_s_std,detector_fit_s_mean,detector_fit_s_std,delta_bacc_mean,delta_bacc_min_over_seeds,delta_bacc_std,reliable_gain
ocsvm-g0.0001-nu0.0001|F7|q0.95|f1_weighted,3,ocsvm-g0.0001-nu0.0001,standard,ocsvm,0.0001,0.0001,10000,F7,0.95,f1_weighted,0.8884119487014818,0.003418401402325799,0.9663664191209754,0.00039584526701562015,0.6926223132042403,0.005395743330189255,0.058049279093538186,0.0006536053911473879,0.9075055187637969,0.00166663011816133,1.479800433337611,0.9870202133730798,0.5670372333358197,0.3593723718407381,9.88419215334583e-06,-4.011819168114883e-05,5.3487762240256954e-05,False
ocsvm-g0.0001-nu0.0001|F3|q0.95|f1_weighted,3,ocsvm-g0.0001-nu0.0001,standard,ocsvm,0.0001,0.0001,10000,F3,0.95,f1_weighted,0.8884119487014818,0.003418401402325799,0.9663664191209754,0.00039584526701562015,0.6926223132042403,0.005395743330189255,0.058049279093538186,0.0006536053911473879,0.9075055187637969,0.00166663011816133,1.479800433337611,0.9870202133730798,0.5670372333358197,0.3593723718407381,9.88419215334583e-06,-4.011819168114883e-05,5.3487762240256954e-05,False
ocsvm-g0.0001-nu0.0001|F8|q0.95|f1,3,ocsvm-g0.0001-nu0.0001,standard,ocsvm,0.0001,0.0001,10000,F8,0.95,f1,0.8884119487014818,0.003418401402325799,0.9663664191209754,0.00039584526701562015,0.6926223132042403,0.005395743330189255,0.058049279093538186,0.0006536053911473879,0.9075055187637969,0.00166663011816133,1.479800433337611,0.9870202133730798,0.5670372333358197,0.3593723718407381,9.88419215334583e-06,-4.011819168114883e-05,5.3487762240256954e-05,False
ocsvm-g0.0001-nu0.0001|F8|q0.95|f1_weighted,3,ocsvm-g0.0001-nu0.0001,standard,ocsvm,0.0001,0.0001,10000,F8,0.95,f1_weighted,0.8884119487014818,0.003418401402325799,0.9663664191209754,0.00039584526701562015,0.6926223132042403,0.005395743330189255,0.058049279093538186,0.0006536053911473879,0.9075055187637969,0.00166663011816133,1.479800433337611,0.9870202133730798,0.5670372333358197,0.3593723718407381,9.88419215334583e-06,-4.011819168114883e-05,5.3487762240256954e-05,False
ocsvm-g0.0001-nu0.0001|F9|q0.95|f1_weighted,3,ocsvm-g0.0001-nu0.0001,standard,ocsvm,0.0001,0.0001,10000,F9,0.95,f1_weighted,0.8884119487014818,0.003418401402325799,0.9663664191209754,0.00039584526701562015,0.6926223132042403,0.005395743330189255,0.058049279093538186,0.0006536053911473879,0.9075055187637969,0.00166663011816133,1.479800433337611,0.9870202133730798,0.5670372333358197,0.3593723718407381,9.88419215334583e-06,-4.011819168114883e-05,5.3487762240256954e-05,False
ocsvm-g0.0001-nu0.0001|F5|q0.95|f1_weighted,3,ocsvm-g0.0001-nu0.0001,standard,ocsvm,0.0001,0.0001,10000,F5,0.95,f1_weighted,0.8884119487014818,0.003418401402325799,0.9663664191209754,0.00039584526701562015,0.6926223132042403,0.005395743330189255,0.058049279093538186,0.0006536053911473879,0.9075055187637969,0.00166663011816133,1.479800433337611,0.9870202133730798,0.5670372333358197,0.3593723718407381,9.88419215334583e-06,-4.011819168114883e-05,5.3487762240256954e-05,False
ocsvm-g0.0001-nu0.0001|F5|q0.95|f1,3,ocsvm-g0.0001-nu0.0001,standard,ocsvm,0.0001,0.0001,10000,F5,0.95,f1,0.8884119487014818,0.003418401402325799,0.9663664191209754,0.00039584526701562015,0.6926223132042403,0.005395743330189255,0.058049279093538186,0.0006536053911473879,0.9075055187637969,0.00166663011816133,1.479800433337611,0.9870202133730798,0.5670372333358197,0.3593723718407381,9.88419215334583e-06,-4.011819168114883e-05,5.3487762240256954e-05,False
ocsvm-g0.0001-nu0.0001|F4|q0.95|f1_weighted,3,ocsvm-g0.0001-nu0.0001,standard,ocsvm,0.0001,0.0001,10000,F4,0.95,f1_weighted,0.8884119487014818,0.003418401402325799,0.9663664191209754,0.00039584526701562015,0.6926223132042403,0.005395743330189255,0.058049279093538186,0.0006536053911473879,0.9075055187637969,0.00166663011816133,1.479800433337611,0.9870202133730798,0.5670372333358197,0.3593723718407381,9.88419215334583e-06,-4.011819168114883e-05,5.3487762240256954e-05,False
ocsvm-g0.0001-nu0.0001|F9|q0.95|f1,3,ocsvm-g0.0001-nu0.0001,standard,ocsvm,0.0001,0.0001,10000,F9,0.95,f1,0.8884119487014818,0.003418401402325799,0.9663664191209754,0.00039584526701562015,0.6926223132042403,0.005395743330189255,0.058049279093538186,0.0006536053911473879,0.9075055187637969,0.00166663011816133,1.479800433337611,0.9870202133730798,0.5670372333358197,0.3593723718407381,9.88419215334583e-06,-4.011819168114883e-05,5.3487762240256954e-05,False
ocsvm-ntrain20000|F9|q0.95|f1,3,ocsvm-ntrain20000,standard,ocsvm,0.000293,1.3e-06,20000,F9,0.95,f1,0.8884102044322781,0.0034168745134215894,0.9663643807432213,0.0003970266795216708,0.6926220174056118,0.005397462121243122,0.058059744708759374,0.0006577814701212175,0.9079470198675498,0.0035043063722710113,2.1305796333278217,0.5476089376591218,0.9365906000020914,0.23838821677070823,8.139922949827275e-06,-4.1862460884667385e-05,5.4529921020314464e-05,False
