arm,seed,held_out,zd,keep,fp,zd_in_sample,keep_in_sample,feasible,n_feasible_trials,tuning_objective,params
override,4,DoS slowloris,0.2525533890436397,0.9019867549668874,0.09472428336699773,0.3986783864909512,0.9064569536423842,True,38.0,0.29934600113106963,"{'qb': 0.7537, 'qm': 0.09321, 'qu': 0.91492, 'qz': 0.57599, 'qc': 0.4046}"
override,4,FTP-Patator,0.0013488450514247176,0.9019867549668874,0.09399169030151437,0.45302130288207487,0.9172185430463575,True,46.0,0.3462843820695316,"{'qb': 0.81511, 'qm': 0.08505, 'qu': 0.92308, 'qz': 0.97318, 'qc': 0.48459}"
override,4,Web Attack - XSS,0.02607361963190184,0.928476821192053,0.09174158302895835,0.454985965017705,0.9180463576158941,True,40.0,0.3415766850261349,"{'qb': 0.85297, 'qm': 0.06505, 'qu': 0.91886, 'qz': 0.66991, 'qc': 0.13467}"
continuous,4,DDoS,0.4226803318387051,0.9105960264900662,0.04089962428441356,0.2736941353775872,0.9109271523178808,True,9.0,0.20543920716461847,"{'qb': 0.95206, 'qm': 0.09764, 'qu': 0.97169, 'qz': 0.7468, 'qc': 0.1124, 'w': 0.37094, 'taun': 0.97564}"
continuous,4,DoS Hulk,0.8436122328546799,0.9039735099337748,0.03556216052160626,0.1684611601235935,0.9125827814569537,True,9.0,0.12651447572412322,"{'qb': 0.95206, 'qm': 0.09764, 'qu': 0.97169, 'qz': 0.7468, 'qc': 0.1124, 'w': 0.37094, 'taun': 0.97564}"
continuous,4,DoS slowloris,0.22748375116063138,0.909271523178808,0.03838787663132777,0.3224932805471056,0.9112582781456954,True,9.0,0.24203856604175727,"{'qb': 0.95206, 'qm': 0.09764, 'qu': 0.97169, 'qz': 0.7468, 'qc': 0.1124, 'w': 0.37094, 'taun': 0.97564}"
continuous,4,FTP-Patator,0.0006744225257123588,0.9112582781456954,0.04611150066456657,0.37919561270583535,0.9107615894039736,True,9.0,0.2901482432717078,"{'qb': 0.95206, 'qm': 0.09764, 'qu': 0.97169, 'qz': 0.7468, 'qc': 0.1124, 'w': 0.37094, 'taun': 0.97564}"
continuous,4,Web Attack - XSS,0.023006134969325152,0.919205298013245,0.0374564368766418,0.37361268459493213,0.9087748344370862,True,9.0,0.28037811907762716,"{'qb': 0.95206, 'qm': 0.09764, 'qu': 0.97169, 'qz': 0.7468, 'qc': 0.1124, 'w': 0.37094, 'taun': 0.97564}"
recommended-fixed,4,DDoS,0.6187526364303905,0.9105960264900662,0.0915845988006405,,,True,,,"{'rule': 'thresholds', 'qb': 0.75, 'qm': 0.1, 'qu': 0.92}"
recommended-fixed,4,DoS Hulk,0.9472941230922324,0.9039735099337748,0.0870320561794225,,,True,,,"{'rule': 'thresholds', 'qb': 0.75, 'qm': 0.1, 'qu': 0.92}"
recommended-fixed,4,DoS slowloris,0.25218198700092853,0.909271523178808,0.08963799436949901,,,True,,,"{'rule': 'thresholds', 'qb': 0.75, 'qm': 0.1, 'qu': 0.92}"
recommended-fixed,4,FTP-Patator,0.0013488450514247176,0.9152317880794701,0.09694299379389017,,,True,,,"{'rule': 'thresholds', 'qb': 0.75, 'qm': 0.1, 'qu': 0.92}"
recommended-fixed,4,Web Attack - XSS,0.02607361963190184,0.919205298013245,0.08884260761268852,,,True,,,"{'rule': 'thresholds', 'qb': 0.75, 'qm': 0.1, 'qu': 0.92}"
