zero_day_recall,zero_day_hits,n,ci_lo,ci_hi,balanced_accuracy,benign_fpr,tau_m,recall_Benign,recall_Brute Force,recall_DoS,recall_Port Scan,recall_Web Attack,detector,classifier,withheld,seed,recall_Botnet
1.0,11,11,0.7411670330319684,1.0,0.8843991592114175,0.05784345532752143,1.0,0.9421565446724786,0.9205298013245033,0.7814569536423841,0.847682119205298,0.8774834437086093,iforest,rf,Heartbleed,1,0.9370860927152318
0.7777777777777778,28,36,0.6191529705388181,0.8828366802420353,0.8904889863492569,0.05772833356008833,1.0,0.9422716664399117,0.9205298013245033,0.7913907284768212,0.8774834437086093,0.8675496688741722,iforest,rf,Infiltration,0,0.9437086092715232
0.7777777777777778,28,36,0.6191529705388181,0.8828366802420353,0.8843991592114175,0.05784345532752143,1.0,0.9421565446724786,0.9205298013245033,0.7814569536423841,0.847682119205298,0.8774834437086093,iforest,rf,Infiltration,1,0.9370860927152318
0.05828220858895705,114,1956,0.04873985645204159,0.06955617090121241,0.9114246537042282,0.062082029492103695,1.0,0.9379179705078963,0.9006622516556292,0.8311258278145696,,0.9039735099337748,iforest,rf,Port Scan,0,0.9834437086092715
0.05828220858895705,114,1956,0.04873985645204159,0.06955617090121241,0.9176298140010666,0.06085755251122437,1.0,0.9391424474887756,0.9205298013245033,0.8211920529801324,,0.9238410596026491,iforest,rf,Port Scan,1,0.9834437086092715
0.04106392907139524,88,2143,0.03345097295183015,0.05031928315244914,0.9318079364156349,0.06281462255758705,0.995,0.9371853774424129,0.9768211920529801,0.8841059602649006,0.9072847682119205,,iforest,rf,Web Attack,0,0.9536423841059603
0.008399440037330844,18,2143,0.005319654434323136,0.013238520253890631,0.8974026907443278,0.05603290389425542,1.0,0.9439670961057446,0.9635761589403974,0.7781456953642384,0.8509933774834437,,iforest,rf,Web Attack,1,0.9503311258278145
0.030619345859429367,44,1437,0.02288737800390043,0.04085416570200106,0.836091583147365,0.06041799667193436,0.999750554561615,0.9395820033280656,0.9343065693430657,0.7931873479318735,0.7104622871046229,0.8029197080291971,ocsvm,xgb,Botnet,0,
0.022268615170494086,32,1437,0.01581760327465885,0.03126700718360856,0.8361564699617363,0.06009356260007744,0.999750554561615,0.9399064373999225,0.9343065693430657,0.7931873479318735,0.7104622871046229,0.8029197080291971,ocsvm,xgb,Botnet,1,
0.0007650273224043716,7,9150,0.0003706339276135156,0.0015784340020590037,0.7753767500189387,0.05689108434239307,0.9997302615093085,0.9431089156576069,,0.7350993377483444,0.7251655629139073,0.7715231788079471,ocsvm,xgb,Brute Force,0,0.7019867549668874
0.0007650273224043716,7,9150,0.0003706339276135156,0.0015784340020590037,0.7753746568958944,0.05690154995761426,0.9997302615093085,0.9430984500423858,,0.7350993377483444,0.7251655629139073,0.7715231788079471,ocsvm,xgb,Brute Force,1,0.7019867549668874
0.7857185036005209,252812,321759,0.7842973177435422,0.78713286719138,0.8057913595742117,0.05382465908258417,0.9996423331912391,0.9461753409174158,0.890728476821192,,0.6854304635761589,0.6788079470198676,ocsvm,xgb,DoS,0,0.8278145695364238
0.7791048579837705,250684,321759,0.777668109443247,0.7805349421760196,0.8058206632968311,0.0536781404694875,0.9996423331912391,0.9463218595305125,0.890728476821192,,0.6854304635761589,0.6788079470198676,ocsvm,xgb,DoS,1,0.8278145695364238
1.0,11,11,0.7411670330319684,1.0,0.764054535743345,0.05474563322204896,0.9997281174143713,0.945254366777951,0.7582781456953642,0.6920529801324503,0.7350993377483444,0.7251655629139073,ocsvm,xgb,Heartbleed,0,0.7284768211920529
